event,year,city,country,lat,lon
"Postgraduate Group Theory Conference 2026",2026,Manchester,United Kingdom,53.4808,-2.2426
"Groups, Topology and Applications in Gran Bilbao VII",2026,Bilbao,Spain,43.2630,-2.9350
"Groups in Madrid 2025",2025,Madrid,Spain,40.4168,-3.7038
"Advanced School on Mapping Class Groups, Surface Subgroups, Bundles, and Group Extensions",2025,Madrid,Spain,40.4168,-3.7038
"Young Geometric Group Theory XIII",2025,Copenhagen,Denmark,55.6761,12.5683
"Groups, Topology and Applications in Gran Bilbao VI",2025,Bilbao,Spain,43.2630,-2.9350
"Groups in Madrid 2024",2024,Madrid,Spain,40.4168,-3.7038
"Topics in Group Theory",2024,Padova,Italy,45.4064,11.8768
"XXVII Brazilian Algebra Meeting",2024,São Paulo,Brazil,-23.5505,-46.6333
"Décimas Jornadas de Teoría de Números",2024,Madrid,Spain,40.4168,-3.7038
"Young Geometric Group Theory XII",2024,Bristol,United Kingdom,51.4545,-2.5879
"Groups, Topology and Applications in Gran Bilbao V",2024,Bilbao,Spain,43.2630,-2.9350
"Groups in Madrid 2023",2023,Madrid,Spain,40.4168,-3.7038
"Group actions and low-dimensional topology",2023,El Barco de Ávila,Spain,40.3571,-5.5240
"34º Colóquio Brasileiro de Matemática",2023,Rio de Janeiro,Brazil,-22.9068,-43.1729
"Workshop on Orderings and Groups",2023,Madrid,Spain,40.4168,-3.7038
"Workshop on Profinite Rigidity",2023,Madrid,Spain,40.4168,-3.7038
"Workshop on Combinatorial Theory of Profinite Groups and Applications",2023,Brasília,Brazil,-15.7939,-47.8828
"Groups in Madrid 2022",2022,Madrid,Spain,40.4168,-3.7038
"Norddeutsches Gruppentheorie-Kolloquium 2022",2022,Düsseldorf,Germany,51.2277,6.7735
"Summer School: Graphs, Groups and Stochastic Processes",2022,Budapest,Hungary,47.4979,19.0402
"Groups, Topology and Applications in Gran Bilbao III",2022,Bilbao,Spain,43.2630,-2.9350
"Groups in Madrid 2021",2021,Madrid,Spain,40.4168,-3.7038
