event,year,city,country,lat,lon
"Profinite detection of free factors",2026,Padova,Italy,45.4064,11.8768
"Profinite rigidity beyond finite generation",2025,Brasília,Brazil,-15.7939,-47.8828
"Groups at infinity and Z-structures",2025,Cambridge,United Kingdom,52.2053,0.1218
"Cohomology of subgroups of SL2",2025,Oxford,United Kingdom,51.7520,-1.2577
"Curves and the Alexander Method",2025,Madrid,Spain,40.4168,-3.7038
"Cohomology of subgroups of SL2",2024,Cambridge,United Kingdom,52.2053,0.1218
"Cohomology of subgroups of SL2",2024,Belo Horizonte,Brazil,-19.9167,-43.9345
"Sectional Curvature, Compact Cores and Local Quasiconvexity",2024,Madrid,Spain,40.4168,-3.7038
"Rational representations and Lück approximation",2023,Madrid,Spain,40.4168,-3.7038
"Rational representations and Lück approximation",2023,Brasília,Brazil,-15.7939,-47.8828
"Completed group algebras of free-by-Zp pro-p groups",2023,Brasília,Brazil,-15.7939,-47.8828
"The Atiyah conjecture and localization",2022,Bilbao,Spain,43.2630,-2.9350
"The Atiyah conjecture",2022,Madrid,Spain,40.4168,-3.7038
"Serre's theorem (short lectures)",2022,Madrid,Spain,40.4168,-3.7038
"Epic R-rings and Sylvester rank functions (study seminar)",2021,Madrid,Spain,40.4168,-3.7038
"Dëmushkin groups and L2-invariants (short talk)",2021,Regensburg,Germany,49.0134,12.1016
"Demushkin groups (algebra seminar)",2020,Brasília,Brazil,-15.7939,-47.8828
